station_id,name,short_name,latitude,longitude,region_id,rental_methods,capacity,eightd_has_key_dispenser,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,eightd_has_available_keys,last_reported
4542,Andrews Ave S & W 179 St,8483.02,40.855156,-73.91278,71,"CREDITCARD,KEY",20,false,0,0,20,0,true,true,true,false,2021-11-08T00:00:00
4626,Loring Pl North & W 183 St,8555.05,40.8604244,-73.9093359997,71,"CREDITCARD,KEY",20,false,0,1,19,0,true,true,true,false,2021-11-08T00:00:00
4628,Aqueduct Ave & W 190 St,8605.06,40.8649213,-73.9024238,71,"CREDITCARD,KEY",20,false,0,1,19,0,true,true,true,false,2021-11-08T00:00:00
3764,Bushwick Ave & McKibbin St,5027.02,40.705517,-73.93936,71,"CREDITCARD,KEY",21,false,0,1,20,0,true,true,true,false,2021-11-08T00:00:00
4105,Concourse Village West & E 156 St,7962.01,40.823162,-73.923267,71,"CREDITCARD,KEY",21,false,0,0,21,0,true,true,true,false,2021-11-08T00:00:00
4169,Morris Ave & E 171 St,8209.01,40.83899,-73.9109,71,"CREDITCARD,KEY",21,false,0,2,19,0,true,true,true,false,2021-11-08T00:00:00
4451,W 190 St & Broadway,8474.02,40.856487335235762,-73.932969868183136,71,"CREDITCARD,KEY",21,false,0,0,21,0,true,true,true,false,2021-11-09T00:00:00
4528,8 St & Washington St,HB603,40.745983882915624,-74.028199017047882,311,"CREDITCARD,KEY",21,false,0,3,18,0,true,true,true,false,2021-11-09T00:00:00
4560,Grand Concourse & E 192 St,8601.04,40.86448,-73.89522,71,"CREDITCARD,KEY",21,false,0,0,21,0,true,true,true,false,2021-11-08T00:00:00
4654,City Hall - Washington St & 1 St,HB105,40.73736,-74.03097,311,"CREDITCARD,KEY",22,false,0,1,21,0,true,true,true,false,2021-11-08T00:00:00
3056,Kosciuszko St & Nostrand Ave,4519.04,40.69072549,-73.95133465,71,"CREDITCARD,KEY",23,false,0,2,21,0,true,true,true,false,2021-11-09T00:00:00
3824,Van Sinderen Ave & Truxton St,4161.01,40.6786,-73.90369,71,"CREDITCARD,KEY",23,false,0,1,22,0,true,true,true,false,2021-11-09T00:00:00
4029,Courtlandt Ave & E 149 St,7840.05,40.816402,-73.919549,71,"CREDITCARD,KEY",23,false,0,0,23,0,true,true,true,false,2021-11-08T00:00:00
4057,Amsterdam Ave & W 167 St,8206.17,40.839443,-73.937044,71,"CREDITCARD,KEY",23,false,0,0,23,0,true,true,true,false,2021-11-09T00:00:00
4060,Amsterdam Ave & W 172 St,8242.04,40.842173,-73.935111,71,"CREDITCARD,KEY",23,false,0,0,23,0,true,true,true,false,2021-11-08T00:00:00
4062,Amsterdam Ave & W 175 St,8278.05,40.844044,-73.933651,71,"CREDITCARD,KEY",23,false,0,0,23,0,true,true,true,false,2021-11-08T00:00:00
4066,Audobon Ave & W 179 St,8316.02,40.847305,-73.933291,71,"CREDITCARD,KEY",23,false,0,2,21,0,true,true,true,false,2021-11-09T00:00:00
4067,Amsterdam Ave & W 180 St,8353.02,40.847396,-73.931205,71,"CREDITCARD,KEY",23,false,0,0,23,0,true,true,true,false,2021-11-08T00:00:00
4135,Westchester Ave & Longwood Ave,7909.07,40.819701,-73.901311,71,"CREDITCARD,KEY",23,false,0,0,23,0,true,true,true,false,2021-11-08T00:00:00
4010,W 145 St & Amsterdam Ave,7997.08,40.825244,-73.947257,71,"CREDITCARD,KEY",24,false,0,8,16,0,true,true,true,false,2021-11-09T00:00:00
